latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
6.196,32.954,315.4,1.2,1.1,2015-02-25, 20:05,T,88,5.0       ,295.5,18.9
6.198,32.964,305.5,1.2,1.1,2015-02-25, 20:05,T,31,5.0       ,295.3,7.3
6.217,33.124,315.6,1.1,1.1,2015-02-25, 20:05,T,55,5.0       ,297.8,14.4
6.204,33.105,313,1.1,1.1,2015-02-25, 20:05,T,26,5.0       ,295.9,11.7
6.207,33.126,373.2,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,302.1,157
6.209,33.136,417.3,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,305.2,440.4
6.193,33.097,316.4,1.1,1.1,2015-02-25, 20:05,T,50,5.0       ,296,16
6.195,33.107,349.6,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,298,78.8
6.196,33.117,369.2,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,298.2,142.4
6.198,33.127,468.7,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,315.9,1179
6.199,33.137,480.7,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,323.5,1447.4
6.201,33.147,314.7,1.1,1.1,2015-02-25, 20:05,T,42,5.0       ,297.1,10.3
6.175,33.037,308.1,1.1,1.1,2015-02-25, 20:05,T,58,5.0       ,295.8,9.7
6.185,33.108,320.5,1.1,1.1,2015-02-25, 20:05,T,85,5.0       ,297,21
6.187,33.118,387.3,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,299.8,225.4
6.188,33.129,409.8,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,304.7,375.6
6.19,33.139,339.3,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,297.8,51.3
6.174,33.1,328.3,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,297.5,32.9
6.177,33.12,320,1.1,1.1,2015-02-25, 20:05,T,96,5.0       ,298,18.1
6.179,33.13,371.2,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,301.3,149.1
6.18,33.14,345.6,1.1,1.1,2015-02-25, 20:05,T,100,5.0       ,298,66.9
-12.123,-54.975,318.4,1.3,1.1,2015-02-25, 17:10,A,34,5.0       ,301.4,16.8
-12.222,-55.407,318.4,1.3,1.1,2015-02-25, 17:10,A,53,5.0       ,299.1,19.1
-12.356,-55.192,318.5,1.3,1.1,2015-02-25, 17:10,A,30,5.0       ,300.3,17
-12.351,-55.002,315.9,1.3,1.1,2015-02-25, 17:10,A,26,5.0       ,296.5,15
-12.817,-58.539,312.4,2.3,1.5,2015-02-25, 17:10,A,22,5.0       ,294.1,29.8
-12.774,-57.871,318.1,2.1,1.4,2015-02-25, 17:10,A,37,5.0       ,297.8,38.7
