latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
18.515,-89.539,320.8,1.3,1.1,2015-05-06, 16:50,T,73,5.0       ,301.2,19.2
18.591,-90.974,332.6,1.1,1,2015-05-06, 16:50,T,85,5.0       ,305.8,26.1
19.373,-96.42,327.4,1.3,1.1,2015-05-06, 16:50,T,79,5.0       ,302.7,19.3
18.559,-90.674,322.8,1.1,1.1,2015-05-06, 16:50,T,65,5.0       ,304.2,13.5
18.56,-90.684,349.1,1.1,1.1,2015-05-06, 16:50,T,95,5.0       ,304.6,67.1
18.559,-90.619,325,1.1,1.1,2015-05-06, 16:50,T,64,5.0       ,302.7,17.6
18.561,-90.63,342,1.1,1.1,2015-05-06, 16:50,T,91,5.0       ,303.4,49.3
18.568,-90.672,322,1.1,1.1,2015-05-06, 16:50,T,59,5.0       ,304.5,11
18.57,-90.682,358.5,1.1,1.1,2015-05-06, 16:50,T,99,5.0       ,305.9,92.6
18.578,-90.616,328.8,1.1,1.1,2015-05-06, 16:50,T,79,5.0       ,306.8,21.6
18.572,-90.518,330.2,1.2,1.1,2015-05-06, 16:50,T,83,5.0       ,305.8,24.4
19.428,-96.458,329.2,1.3,1.1,2015-05-06, 16:50,T,82,5.0       ,300.8,27.3
19.438,-96.456,335.7,1.3,1.1,2015-05-06, 16:50,T,87,5.0       ,302.3,44.3
18.41,-89.399,327.2,1.3,1.1,2015-05-06, 16:50,T,80,5.0       ,297.1,34.5
18.591,-90.448,329.1,1.2,1.1,2015-05-06, 16:50,T,82,5.0       ,304.2,22.4
18.616,-90.609,323,1.1,1.1,2015-05-06, 16:50,T,65,5.0       ,304.6,13.6
18.618,-90.62,336.4,1.1,1.1,2015-05-06, 16:50,T,88,5.0       ,306,37.1
18.435,-89.421,322.2,1.3,1.1,2015-05-06, 16:50,T,75,5.0       ,300.1,24
18.437,-89.433,323.3,1.3,1.1,2015-05-06, 16:50,T,76,5.0       ,298.6,26.2
18.501,-89.829,315.8,1.3,1.1,2015-05-06, 16:50,T,64,5.0       ,301.3,11.5
18.549,-90.126,320.9,1.2,1.1,2015-05-06, 16:50,T,67,5.0       ,304.8,13.5
18.683,-90.909,325.3,1.1,1,2015-05-06, 16:50,T,75,5.0       ,308,13.1
18.686,-90.892,330.1,1.1,1,2015-05-06, 16:50,T,83,5.0       ,306.4,18.1
18.696,-90.891,328.9,1.1,1,2015-05-06, 16:50,T,82,5.0       ,307.7,16.1
18.567,-90.036,318.4,1.2,1.1,2015-05-06, 16:50,T,55,5.0       ,302.6,11.6
18.68,-90.733,327.3,1.1,1.1,2015-05-06, 16:50,T,80,5.0       ,306.4,18.4
18.682,-90.744,323.5,1.1,1.1,2015-05-06, 16:50,T,68,5.0       ,305.7,12.1
8.788,-67.568,335.3,1.2,1.1,2015-05-06, 15:15,T,87,5.0       ,302,39.4
8.802,-67.464,327.9,1.2,1.1,2015-05-06, 15:15,T,81,5.0       ,303.8,20
8.402,-64.791,318.4,1.9,1.4,2015-05-06, 15:15,T,54,5.0       ,297.6,27.4
9.011,-68.092,328.1,1.1,1.1,2015-05-06, 15:15,T,79,5.0       ,305.3,17.4
9.021,-68.09,330.7,1.1,1.1,2015-05-06, 15:15,T,83,5.0       ,304.3,21.4
9.194,-69.235,329.7,1,1,2015-05-06, 15:15,T,70,5.0       ,304.8,12.6
8.896,-66.954,335.4,1.3,1.1,2015-05-06, 15:15,T,87,5.0       ,304.4,38.1
8.992,-67.501,334.6,1.2,1.1,2015-05-06, 15:15,T,86,5.0       ,307.5,23
8.994,-67.513,333.1,1.2,1.1,2015-05-06, 15:15,T,85,5.0       ,307.2,20.2
9.211,-68.861,335.5,1.1,1,2015-05-06, 15:15,T,87,5.0       ,307,19.8
8.916,-66.741,327.8,1.4,1.2,2015-05-06, 15:15,T,65,5.0       ,304.1,17.4
8.852,-66.096,354.1,1.5,1.2,2015-05-06, 15:15,T,97,5.0       ,306.3,112
8.854,-66.11,327.2,1.5,1.2,2015-05-06, 15:15,T,74,5.0       ,303.5,18
9.198,-67.378,334,1.2,1.1,2015-05-06, 15:15,T,86,5.0       ,304.7,28.6
9.208,-67.376,331.3,1.2,1.1,2015-05-06, 15:15,T,68,5.0       ,304.7,23.2
8.623,-63.405,312.2,2.5,1.5,2015-05-06, 15:15,T,0,5.0       ,290.5,28.9
8.751,-63.943,327,2.2,1.4,2015-05-06, 15:15,T,76,5.0       ,294.3,73.1
8.749,-63.937,321.9,2.2,1.4,2015-05-06, 15:15,T,52,5.0       ,292.4,50.2
9.571,-68.985,334,1,1,2015-05-06, 15:15,T,86,5.0       ,307.5,23.6
9.572,-68.994,325.7,1,1,2015-05-06, 15:15,T,62,5.0       ,305.2,10.2
9.633,-69.09,329.1,1,1,2015-05-06, 15:15,T,82,5.0       ,304.2,15.9
9.41,-67.417,359.1,1.2,1.1,2015-05-06, 15:15,T,99,5.0       ,309.7,92.9
9.412,-67.428,335.3,1.2,1.1,2015-05-06, 15:15,T,82,5.0       ,307.9,25.7
9.145,-65.694,328.5,1.6,1.2,2015-05-06, 15:15,T,81,5.0       ,305.5,22.3
9.42,-67.416,345.4,1.2,1.1,2015-05-06, 15:15,T,93,5.0       ,308.4,49.2
9.839,-70.161,329.6,1,1,2015-05-06, 15:15,T,55,5.0       ,307.6,18.6
9.831,-69.794,323.5,1,1,2015-05-06, 15:15,T,76,5.0       ,303.8,10.7
9.724,-68.902,321.5,1,1,2015-05-06, 15:15,T,34,5.0       ,302.3,9.3
9.733,-68.9,320.8,1,1,2015-05-06, 15:15,T,44,5.0       ,301.8,9.1
9.777,-69.066,317.5,1,1,2015-05-06, 15:15,T,68,5.0       ,300.8,9.4
9.192,-64.974,328.5,1.8,1.3,2015-05-06, 15:15,T,80,5.0       ,299.9,39.1
9.198,-64.968,323.9,1.8,1.3,2015-05-06, 15:15,T,77,5.0       ,300.6,24.2
9.201,-64.984,324.4,1.8,1.3,2015-05-06, 15:15,T,77,5.0       ,301.4,26
9.248,-65.124,324.8,1.8,1.3,2015-05-06, 15:15,T,78,5.0       ,302.9,22.3
10.085,-70.518,328.1,1,1,2015-05-06, 15:15,T,69,5.0       ,308.5,12.6
