latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-14.553,127.567,317.7,1.4,1.2,2015-04-26, 01:35,T,68,5.0       ,299.1,16.8
-14.59,127.79,319.6,1.4,1.2,2015-04-26, 01:35,T,71,5.0       ,302.2,18.4
-14.555,127.513,326.8,1.5,1.2,2015-04-26, 01:35,T,80,5.0       ,299.2,37.4
-14.557,127.526,326.7,1.5,1.2,2015-04-26, 01:35,T,80,5.0       ,300.3,37
-14.611,127.72,335.7,1.4,1.2,2015-04-26, 01:35,T,87,5.0       ,301.8,54.1
-14.617,127.759,320.8,1.4,1.2,2015-04-26, 01:35,T,73,5.0       ,303.1,19.5
-14.531,127.103,318.6,1.6,1.2,2015-04-26, 01:35,T,54,5.0       ,290.4,24.2
-14.534,127.118,330.2,1.6,1.2,2015-04-26, 01:35,T,83,5.0       ,292.2,53.3
-14.638,127.688,347.9,1.4,1.2,2015-04-26, 01:35,T,94,5.0       ,304.8,84.6
-14.642,127.68,339.3,1.4,1.2,2015-04-26, 01:35,T,89,5.0       ,304.4,57
-14.644,127.693,331.1,1.4,1.2,2015-04-26, 01:35,T,56,5.0       ,304.2,34.8
-14.651,127.665,330.6,1.4,1.2,2015-04-26, 01:35,T,71,5.0       ,303.7,37.2
-14.65,127.53,323.7,1.4,1.2,2015-04-26, 01:35,T,57,5.0       ,302.6,22.6
-14.786,127.039,318.9,1.6,1.2,2015-04-26, 01:35,T,70,5.0       ,301.2,19.7
-15.056,128.699,325.3,1.2,1.1,2015-04-26, 01:35,T,42,5.0       ,306.6,19.2
-15.058,128.71,337.2,1.2,1.1,2015-04-26, 01:35,T,88,5.0       ,307.2,43.9
-15.217,129.722,323.5,1.1,1,2015-04-26, 01:35,T,71,5.0       ,305.9,16.6
-15.075,128.753,332,1.2,1.1,2015-04-26, 01:35,T,61,5.0       ,304.4,32.8
-15.447,131.172,335.9,1,1,2015-04-26, 01:35,T,87,5.0       ,309.4,30.2
-15.448,131.182,326.9,1,1,2015-04-26, 01:35,T,80,5.0       ,306.8,17.2
-15.081,128.729,324.4,1.2,1.1,2015-04-26, 01:35,T,37,5.0       ,305.1,16.2
-15.083,128.74,358.9,1.2,1.1,2015-04-26, 01:35,T,99,5.0       ,308.2,103.6
-15.085,128.751,337,1.2,1.1,2015-04-26, 01:35,T,81,5.0       ,306.9,41.5
-16.176,136.38,318.1,1.7,1.3,2015-04-26, 01:35,T,63,5.0       ,306,13.7
-16.187,136.379,355,1.7,1.3,2015-04-26, 01:35,T,97,5.0       ,309.5,148.7
-16.189,136.394,328.1,1.7,1.3,2015-04-26, 01:35,T,81,5.0       ,307,37.2
-14.958,127.91,320.1,1.4,1.2,2015-04-26, 01:35,T,68,5.0       ,304.6,14.5
-15.086,128.688,321.9,1.2,1.1,2015-04-26, 01:35,T,67,5.0       ,307.8,11.1
-15.246,129.68,321.5,1.1,1,2015-04-26, 01:35,T,63,5.0       ,304.3,14.7
-15.5,131.338,319.2,1,1,2015-04-26, 01:35,T,71,5.0       ,304.9,10
-15.52,131.477,320.2,1,1,2015-04-26, 01:35,T,54,5.0       ,306.1,9.4
-15.11,128.775,326,1.2,1.1,2015-04-26, 01:35,T,21,5.0       ,307.6,20.7
-16.184,136.373,339,1.7,1.3,2015-04-26, 01:35,T,89,5.0       ,308.7,74.9
-16.186,136.389,338,1.7,1.3,2015-04-26, 01:35,T,89,5.0       ,307.6,69.9
-14.938,127.665,320.6,1.4,1.2,2015-04-26, 01:35,T,73,5.0       ,305.3,15.6
-15.939,134.341,320.7,1.2,1.1,2015-04-26, 01:35,T,56,5.0       ,308.3,13.1
-16.196,136.372,324.9,1.7,1.3,2015-04-26, 01:35,T,70,5.0       ,309.9,28.3
-16.198,136.388,332.3,1.7,1.3,2015-04-26, 01:35,T,85,5.0       ,308,50.2
-15.295,129.816,322.9,1.1,1,2015-04-26, 01:35,T,32,5.0       ,304.3,12
-15.297,129.826,322.1,1.1,1,2015-04-26, 01:35,T,41,5.0       ,302.7,10.8
-16.3,137.142,321,1.9,1.4,2015-04-26, 01:35,T,51,5.0       ,305.6,27.6
-16.314,137.158,327.4,1.9,1.4,2015-04-26, 01:35,T,67,5.0       ,305.9,45.2
-14.961,127.608,323.4,1.4,1.2,2015-04-26, 01:35,T,76,5.0       ,304.2,21.8
-14.963,127.621,324.1,1.4,1.2,2015-04-26, 01:35,T,77,5.0       ,305.2,22.1
-15.311,129.793,320.6,1.1,1,2015-04-26, 01:35,T,33,5.0       ,303.9,10.2
-15.472,130.848,322.4,1,1,2015-04-26, 01:35,T,55,5.0       ,308.1,11.2
